name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
山西大学,综合,山西,4.74,6.06,0.48,0.7,0.7,0.8,0.7,0.6,0,0,0,0.6,0.7,0.9,0.9,0.7,0.8,0.8
广西大学,综合,广西,4.38,3.8,7.49,0.8,0.8,0.9,0.8,0.8,0,0.7,0.4,0.8,0.8,0.8,0.8,0.7,0.8,0.7
南方医科大学,医药,广东,5.8,4.03,2.7,0.7,0.7,0.6,0.8,0.7,0,0,0,0.7,0.6,0.6,0.3,0,0.7,0.5
哈尔滨医科大学,医药,黑龙江,5.59,4.47,1.69,0.8,0.8,0.6,0.9,0.7,0.8,0.6,0,0.7,0.6,0.2,0.7,0,0.7,0.2
河南大学,综合,河南,4.06,5.52,2.13,0.9,1,0.7,1,0.9,0,0,0,0.6,0.5,0,0.5,0.7,0.9,0
贵州大学,综合,贵州,4.18,3.4,7.3,0.7,0.7,0.7,0.6,0.8,0,0.1,0,0.5,0.5,0.7,0.6,0,0.8,0.6
南京工业大学,理工,江苏,5.48,4.06,1.79,0.9,0.9,0.8,0.9,0.8,1,0,0,0.7,0.7,0,0.5,0,0.9,0
中央财经大学,财经,北京,1.62,3.25,14.4,0.9,0.6,1,0.7,0.6,0,0,1,1,1,0,1,0.9,1,0.7
辽宁大学,综合,辽宁,1.95,5.92,6.23,0.7,0.7,0.4,0.7,0.8,0,0,0,0.5,0.4,0,0.5,0,0.5,0.1
华北电力大学,理工,北京,4.23,2.79,8.45,0.7,0.8,0.3,0.6,0.7,0,0.8,0,0.4,0,0,0.2,0,0.5,0
安徽大学,综合,安徽,3.36,4.42,6.29,0.7,0.7,0.1,0,0.1,0,0.8,0,0,0,0,0,0,0.4,0
中国医科大学,医药,辽宁,4.9,4.21,2.37,0.7,0.1,0.9,0.3,0.1,0,0,0.4,0.9,0.9,0,0.6,0,0.8,0
扬州大学,综合,江苏,4.22,4.77,2.76,0.9,0.9,0.8,0.9,0.9,0,0.9,0,0.7,0.8,0.7,0.8,0,0.9,0.6
燕山大学,理工,河北,4.83,3.79,3.67,1,1,1,1,0.8,0,1,0.7,1,1,0,1,0.8,1,0.6
浙江工业大学,理工,浙江,4.97,4.07,2.45,0.9,0.9,0.9,0.8,0.9,0,0.5,0,0.9,0.8,0.7,0.7,0,1,0.7
昆明理工大学,理工,云南,5.96,3.79,0.23,,,,,,,,,,,,,,,
西南财经大学,财经,四川,1.75,5.6,6.51,,,,,,,,,,,,,,,
东北林业大学,林业,黑龙江,3,4.43,5.98,,,,,,,,,,,,,,,
北京中医药大学,医药,北京,3.99,2.13,8.67,,,,,,,,,,,,,,,
首都师范大学,师范,北京,3.85,5.22,0.63,,,,,,,,,,,,,,,
天津医科大学,医药,天津,3.28,3.28,7.16,,,,,,,,,,,,,,,
海南大学,综合,海南,4.23,2.45,6.63,,,,,,,,,,,,,,,
宁夏大学,综合,宁夏,4.89,1.56,7.13,,,,,,,,,,,,,,,
对外经济贸易大学,财经,北京,2.2,3.33,9.03,,,,,,,,,,,,,,,
湘潭大学,综合,湖南,3.61,4.16,2.77,,,,,,,,,,,,,,,
重庆医科大学,医药,重庆,5.28,2.66,2.19,,,,,,,,,,,,,,,
江苏大学,综合,江苏,3.78,4.02,2.56,,,,,,,,,,,,,,,
黑龙江大学,综合,黑龙江,2.74,5.75,0.32,,,,,,,,,,,,,,,
山东师范大学,师范,山东,2.54,4.92,2.41,,,,,,,,,,,,,,,
四川农业大学,农林,四川,3.16,2.88,5.99,,,,,,,,,,,,,,,
福建师范大学,师范,福建,3.01,4.86,0.41,,,,,,,,,,,,,,,
中国药科大学,医药,江苏,2.46,2.31,8.24,,,,,,,,,,,,,,,
西南政法大学,政法,重庆,1.5,5.07,3.06,,,,,,,,,,,,,,,
东北农业大学,农林,黑龙江,2.41,3.07,5.89,,,,,,,,,,,,,,,
上海师范大学,师范,上海,3.35,4.11,0.56,,,,,,,,,,,,,,,
深圳大学,综合,广东,4.45,2.6,1.69,,,,,,,,,,,,,,,
山东农业大学,农林,山东,3.37,3.86,0.95,,,,,,,,,,,,,,,
河北大学,综合,河北,2.15,4.38,2.36,,,,,,,,,,,,,,,
北京外国语大学,语文,北京,1.17,2.95,8.79,,,,,,,,,,,,,,,
大连海事大学,理工,辽宁,1.58,2.56,8.45,,,,,,,,,,,,,,,
延边大学,综合,吉林,2.25,2.33,7.16,,,,,,,,,,,,,,,
东北财经大学,财经,辽宁,2.12,4.97,0.33,,,,,,,,,,,,,,,
西北师范大学,师范,甘肃,2.7,3.92,1.41,,,,,,,,,,,,,,,
安徽师范大学,师范,安徽,2.8,3.31,1.94,,,,,,,,,,,,,,,
河北工业大学,理工,河北,2.01,2.58,5.9,,,,,,,,,,,,,,,
石河子大学,综合,新疆,4.87,1.25,1.27,,,,,,,,,,,,,,,
广州中医药大学,医药,广东,2.7,1.5,6.18,,,,,,,,,,,,,,,
西安理工大学,理工,陕西,3.42,3.05,0.09,,,,,,,,,,,,,,,
内蒙古农业大学,农林,内蒙古,2.59,3.08,1.24,,,,,,,,,,,,,,,
西安建筑科技大学,理工,陕西,2.98,3.05,0.11,,,,,,,,,,,,,,,
天津师范大学,师范,天津,2.34,3.51,0.35,,,,,,,,,,,,,,,
沈阳农业大学,农林,辽宁,1.73,3.29,2.44,,,,,,,,,,,,,,,
汕头大学,综合,广东,3.22,1.76,2.43,,,,,,,,,,,,,,,
上海外国语大学,语文,上海,0.72,1.87,8.65,,,,,,,,,,,,,,,
上海中医药大学,医药,上海,3.72,1.89,0.16,,,,,,,,,,,,,,,
湖南农业大学,农林,湖南,2.55,2.96,0.24,,,,,,,,,,,,,,,
武汉科技大学,综合,湖北,2.28,2.88,0.73,,,,,,,,,,,,,,,
青岛大学,综合,山东,2.52,2.63,0.48,,,,,,,,,,,,,,,
成都理工大学,理工,四川,2.53,1.79,2.67,,,,,,,,,,,,,,,
湖北大学,综合,湖北,2.08,2.98,0.56,,,,,,,,,,,,,,,
河南师范大学,师范,河南,2.29,2.06,2.36,,,,,,,,,,,,,,,
山东科技大学,理工,山东,2.35,2.8,0.2,,,,,,,,,,,,,,,
云南师范大学,师范,云南,3.35,1.71,0.23,,,,,,,,,,,,,,,
青岛科技大学,理工,山东,2.78,1.72,1.72,,,,,,,,,,,,,,,
