name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,综合指标（武书连）_人才培养,综合指标（武书连）_研究生培养,综合指标（武书连）_本科生培养,综合指标（武书连）_科学研究,综合指标（武书连）_自然科学研究,综合指标（武书连）_社会科学研究,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
山西大学,综合,山西,0.6296,0.6525,0.6296,0.122768105,0.079528474,0.209752839,0.06926779,0.039707942,0.103623005,0.8,0.7,0.9,0.8,0.7,0,0.4,0.8,0.7,0.8,0.8,0.8,0.7,0.8,0.8
陕西师范大学,师范,陕西,0.6267,0.6556,0.6324,0.145502939,0.114892911,0.20741483,0.096424888,0.062812563,0.125158348,0.8,0.7,0.9,0.9,0.7,0,0,0.5,0.8,0.6,0.9,0.9,0.8,0.7,0.8
上海财经大学,财经,上海,0.6229,0.6475,0.6789,0.118442941,0.073219326,0.209418838,0.059298728,0.00180036,0.170255891,0.7,0.1,0.9,0.5,0.1,0,0,0,1,0.8,0,0.7,0,0.9,0
上海大学,综合,上海,0.6243,0.6527,0.6526,0.195852279,0.166362278,0.255177021,0.152457889,0.130426085,0.118824424,0.8,0.8,0.9,0.8,0.8,0,0,0.6,0.8,0.8,0,0.8,0.6,0.8,0.9
上海交通大学,综合,上海,0.8589,0.7826,0.7366,0.716646335,0.721401295,0.707080828,0.72679615,0.75765153,0.223714213,1,1,0.9,1,1,0.7,1,0,0.9,0.9,0,0.9,0,1,0
深圳大学,综合,广东,0.6249,0.6415,0.6363,0.098591549,0.073385356,0.149298597,0.066345823,0.035607121,0.105143147,0.7,0.6,0.7,0.6,0.7,0,0.4,0.3,0.7,0.8,0.7,0.8,0.1,0.6,0.7
首都师范大学,师范,北京,0.6244,0.6506,0.6082,0.110679827,0.067740329,0.197060788,0.052853214,0.026105221,0.089688371,0.8,0.8,0.4,0,0.4,0,0.9,0,0,0.1,0,0,0,0.7,0
首都医科大学,医药,北京,0.641,0.6452,0.6066,0.145613841,0.109081853,0.219104876,0.107253352,0.120324065,0.011401064,0.7,0.6,0.8,0.7,0.4,0,0,0.4,0.1,0.7,0.8,0.8,0.8,0.5,0.9
四川大学,综合,四川,0.7542,0.7348,0.7092,0.558722413,0.516520007,0.643620574,0.492007563,0.460392078,0.284266532,1,1,1,1,0.9,0.7,0.9,0.6,0.8,0.9,0.6,1,0.8,0.9,0.8
苏州大学,综合,江苏,0.6471,0.6556,0.6509,0.229122768,0.195251536,0.29759519,0.178325885,0.165233047,0.107170003,0.9,0.8,0.8,0.9,0.8,0.5,0.8,0.5,0.8,0.9,0.9,0.8,0.5,0.7,0.8
天津大学,理工,天津,0.6999,0.6998,0.7045,0.364200954,0.301842935,0.489645959,0.291079409,0.292258452,0.117810996,0.9,0.9,0.8,0.8,1,0.5,0.6,0,0.6,0.6,0,0.7,0,0.9,0.7
同济大学,理工,上海,0.7,0.6981,0.7216,0.351114561,0.277602524,0.498997996,0.246906153,0.25215043,0.089181657,0.9,0.9,0.8,0.9,1,0,0.7,0.4,0.7,0.8,0,0.8,0,0.9,0.7
武汉大学,综合,湖北,0.8283,0.7941,0.7786,0.587445935,0.523825336,0.71509686,0.508422138,0.371774355,0.556878642,1,1,1,0.9,0.9,0,0.9,0.9,1,1,0,1,0.9,1,0.9
武汉理工大学,理工,湖北,0.6413,0.6564,0.6723,0.236442276,0.155902374,0.398463594,0.122035064,0.120824165,0.05371168,0.8,0.8,0.7,0.6,0.8,0,0,0,0.7,0.7,0.8,0.7,0,0.8,0.9
西安电子科技大学,理工,陕西,0.6328,0.6526,0.6619,0.197183099,0.148431014,0.295257181,0.123839807,0.137627526,0.016721561,0.8,0.8,0.6,0.7,0.8,0,0,0,0.5,0,0.5,0.6,0,0.6,0
西安交通大学,综合,陕西,0.7228,0.7243,0.7025,0.40479095,0.340029885,0.535404142,0.31497078,0.280656131,0.217887003,0.9,0.9,0.9,0.8,1,0,0.8,0.5,0.9,0.8,0.7,0.7,0,1,0
西北大学,综合,陕西,0.6649,0.6681,0.6685,0.15781302,0.104266977,0.265531062,0.090323135,0.059711942,0.115024069,0.8,0.7,0.8,0.9,0.7,0,0.5,0.3,0.9,0.7,0,0.8,0.8,0.7,0.6
西北工业大学,理工,陕西,0.6771,0.6743,0.6995,0.276477764,0.210858376,0.408483634,0.192935717,0.213242649,0.028629339,0.9,0.9,0.7,0.8,1,0,0,0,0.6,0.7,0,0.5,0,0.8,0
西北农林科技大学,农林,陕西,0.6401,0.6579,0.669,0.16125097,0.118545575,0.247160989,0.108198694,0.108521704,0.044084115,0.8,0.8,0.7,0.7,0.7,1,0,0,0.3,0.5,0,0.6,0,0.8,0
西南财经大学,财经,四川,0.613,0.6497,0.6504,0.120882777,0.062925452,0.23747495,0.039790306,0.00120024,0.114263998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西南大学,综合,重庆,0.6315,0.6645,0.6772,0.22989908,0.154906193,0.380761523,0.131402544,0.095019004,0.146440334,0.8,0.8,0.9,0.9,0.7,0.8,0.6,0.3,0.6,0.8,1,0.9,0.6,0.8,0.8
西南交通大学,理工,四川,0.624,0.6602,0.6871,0.216701786,0.112070397,0.42752171,0.079236851,0.071314263,0.052951609,0.8,0.8,0.7,0.5,0.8,0.3,0.4,0,0.7,0.6,0,0.6,0,0.8,0.7
湘潭大学,综合,湖南,0.6236,0.6446,0.6197,0.118553843,0.07653993,0.202738811,0.062048814,0.046009202,0.066379529,0.7,0.7,0.8,0.7,0.7,0,0.1,0.4,0.8,0.8,0,0.8,0.6,0.7,0.2
燕山大学,理工,河北,0.6218,0.6426,0.6181,0.110125319,0.083015109,0.164662659,0.068580268,0.063412683,0.041550545,0.7,0.8,0.7,0.6,0.8,0,0,0,0.6,0.7,0.5,0.7,0,0.7,0.6
扬州大学,综合,江苏,0.6215,0.6464,0.6049,0.141621382,0.09131662,0.242818971,0.085166724,0.076115223,0.058272105,0.8,0.8,0.7,0.8,0.7,0.9,0.6,0.1,0.7,0.7,0.7,0.8,0.6,0.7,0.7
云南大学,综合,云南,0.6369,0.6582,0.6734,0.130863924,0.084675411,0.223780895,0.065486421,0.045409082,0.077780593,0.7,0.7,0.8,0.8,0.5,0.6,0,0.2,0.7,0.8,0.3,0.7,0.8,0.7,0.6
浙江大学,综合,浙江,0.8341,0.7834,0.7754,0.933569923,0.979744313,0.840681363,1,1,0.414998733,1,1,1,1,1,1,1,0.7,1,0.9,0.9,1,0.7,1,0.8
浙江工业大学,理工,浙江,0.6311,0.6429,0.6084,0.140290562,0.096463556,0.228456914,0.089291853,0.090618124,0.033696478,0.8,0.8,0.7,0.7,0.8,0,0.5,0,0.7,0.6,0.7,0.7,0,0.7,0.3
浙江师范大学,师范,浙江,0.6217,0.6436,0.6061,0.104025729,0.06890254,0.174682699,0.069783431,0.036907381,0.111983785,0.7,0.7,0.8,0.7,0.6,0,0,0,0.6,0.7,0.9,0.9,0.7,0.8,0.8
郑州大学,综合,河南,0.6246,0.6621,0.6591,0.267938339,0.148597045,0.508016032,0.117995875,0.096819364,0.10235622,0.8,0.8,0.9,0.8,0.8,0,0.7,0.4,0.8,0.8,0.8,0.8,0.7,0.8,0.7
中国地质大学,理工,湖北 北京,0.6419,0.6662,0.6899,0.126427858,0.069234601,0.241482966,0.054743898,0.053810762,0.025082341,0.7,0.7,0.6,0.8,0.7,0,0,0,0.7,0.6,0.6,0.3,0,0.7,0.5
中国海洋大学,综合,山东,0.6407,0.6588,0.6723,0.155151381,0.120537938,0.224782899,0.106222069,0.112022404,0.02938941,0.8,0.8,0.6,0.9,0.7,0.8,0.6,0,0.7,0.6,0.2,0.7,0,0.7,0.2
中国科学技术大学,理工,安徽,0.7417,0.7247,0.7041,0.376067428,0.394321767,0.339345357,0.364472327,0.396479296,0.070179883,0.9,1,0.7,1,0.9,0,0,0,0.6,0.5,0,0.5,0.7,0.9,0
中国矿业大学,理工,江苏 北京,0.6646,0.6659,0.6899,0.127315072,0.072887265,0.236806947,0.055001719,0.049909982,0.035723334,0.7,0.7,0.7,0.6,0.8,0,0.1,0,0.5,0.5,0.7,0.6,0,0.8,0.6
中国农业大学,农林,北京,0.6736,0.6899,0.7064,0.243096374,0.217831645,0.294255177,0.220694397,0.228645729,0.071700025,0.9,0.9,0.8,0.9,0.8,1,0,0,0.7,0.7,0,0.5,0,0.9,0
中国人民大学,综合,北京,0.7499,0.8116,0.8338,0.38161251,0.307155902,0.531396126,0.289876246,0.026405281,0.787686851,0.9,0.6,1,0.7,0.6,0,0,1,1,1,0,1,0.9,1,0.7
中国石油大学,理工,山东 北京,0.6343,0.658,0.6887,0.115226794,0.063423543,0.219438878,0.050275009,0.053910782,0.011907778,0.7,0.7,0.4,0.7,0.8,0,0,0,0.5,0.4,0,0.5,0,0.5,0.1
中国药科大学,医药,江苏,0.6136,0.6385,0.6427,0.107574581,0.067076208,0.189044756,0.066002063,0.074414883,0.006080568,0.7,0.8,0.3,0.6,0.7,0,0.8,0,0.4,0,0,0.2,0,0.5,0
中国医科大学,医药,辽宁,0.623,0.6438,0.6033,0.094155484,0.070562842,0.141616566,0.058697147,0.067313463,0.002786927,0.7,0.7,0.1,0,0.1,0,0.8,0,0,0,0,0,0,0.4,0
中南财经政法大学,财经,湖北,0.6222,0.6548,0.6521,0.124653432,0.071392994,0.231796927,0.051735992,0.0010002,0.149987332,0.7,0.1,0.9,0.3,0.1,0,0,0.4,0.9,0.9,0,0.6,0,0.8,0
中南大学,综合,湖南,0.732,0.716,0.7153,0.396695131,0.337539432,0.515698063,0.303196975,0.304360872,0.122878135,0.9,0.9,0.8,0.9,0.9,0,0.9,0,0.7,0.8,0.7,0.8,0,0.9,0.6
中山大学,综合,广东,0.7728,0.7387,0.7372,0.50815127,0.478499087,0.568136273,0.474046064,0.410682136,0.357233342,1,1,1,1,0.8,0,1,0.7,1,1,0,1,0.8,1,0.6
重庆大学,综合,重庆,0.661,0.6766,0.7027,0.285238993,0.22148431,0.413493654,0.191818494,0.163132627,0.152520902,0.9,0.9,0.9,0.8,0.9,0,0.5,0,0.9,0.8,0.7,0.7,0,1,0.7
